name,location.address1,review_count,rating
Pai Northern Thai Kitchen,18 Duncan Street,3397,4.5
Mira,420A Wellington Street W,263,4.5
Richmond Station,1 Richmond Street W,887,4.5
Rasa,196 Robert Street,321,4.5
Katsuya,66 Gerrard Street E,488,4.5
Aloette,163 Spadina Avenue,287,4.5
Gusto 101,101 Portland Street,1122,4.0
Yeah Yeah Thai,382 Spadina Avenue,12,4.5
Trattoria Nervosa,75 Yorkville Avenue,390,4.0
Fieramosca,36A Prince Arthur Avenue,110,4.5
Irene,25 Dockside Drive,1,5.0
Byblos,11 Duncan Street,898,4.5
Mogouyan Hand-Pulled Noodles,124 Dundas St W,54,4.5
OEB Breakfast Co.,125 E Liberty Street,114,4.5
KINKA IZAKAYA ORIGINAL,398 Church Street,1802,4.0
The Rabbit Hole,21 Adelaide Street W,32,4.0
1 Kitchen Toronto,550 Wellington Street W,40,4.5
Holy Cow Japanese Steakhouse,254 Queen Street  W,150,4.5
Juicy Dumpling,280 Spadina Ave,606,4.5
The Oxley,121 Yorkville Avenue,173,4.0
